County ID,County Name,Precinct Code,Precinct Name,School District Code,School District Name,Number of Registered Voters,,,,,,,,,
1,Aitkin,5,AITKIN,1,AITKIN,1242,,,,,,,,,
1,Aitkin,10,AITKIN TWP,1,AITKIN,616,,,,,,,,,
1,Aitkin,15,BALL BLUFF TWP,2,HILL CITY,115,,,,,,,,,
1,Aitkin,15,BALL BLUFF TWP,4,MCGREGOR,90,,,,,,,,,
1,Aitkin,20,BALSAM TWP,4,MCGREGOR,24,,,,,,,,,
1,Aitkin,25,BEAVER TWP,4,MCGREGOR,47,,,,,,,,,
1,Aitkin,30,CLARK TWP,4,MCGREGOR,94,,,,,,,,,
1,Aitkin,35,CORNISH TWP,2,HILL CITY,4,,,,,,,,,
1,Aitkin,35,CORNISH TWP,4,MCGREGOR,30,,,,,,,,,
1,Aitkin,38,UNORG 47-24 (DAVIDSON UNORG),4,MCGREGOR,32,,,,,,,,,
1,Aitkin,40,FARM ISLAND TWP,1,AITKIN,830,,,,,,,,,
1,Aitkin,40,FARM ISLAND TWP,182,CROSBY-IRONTON,2,,,,,,,,,
1,Aitkin,45,FLEMING TWP,1,AITKIN,254,,,,,,,,,
1,Aitkin,45,FLEMING TWP,4,MCGREGOR,2,,,,,,,,,
1,Aitkin,50,GLEN TWP,1,AITKIN,361,,,,,,,,,
1,Aitkin,55,HAUGEN TWP,4,MCGREGOR,111,,,,,,,,,
1,Aitkin,55,HAUGEN TWP,95,CROMWELL-WRIGHT,2,,,,,,,,,
1,Aitkin,60,HAZELTON TWP,1,AITKIN,664,,,,,,,,,
1,Aitkin,65,HILL CITY,2,HILL CITY,324,,,,,,,,,
1,Aitkin,70,HILL LAKE TWP,2,HILL CITY,300,,,,,,,,,
1,Aitkin,75,IDUN TWP,4,MCGREGOR,19,,,,,,,,,
1,Aitkin,75,IDUN TWP,473,ISLE,118,,,,,,,,,
1,Aitkin,80,JEVNE TWP,4,MCGREGOR,232,,,,,,,,,
1,Aitkin,82,UNORG 45-24 (JEWETT UNORG),4,MCGREGOR,26,,,,,,,,,
1,Aitkin,85,KIMBERLY TWP,1,AITKIN,134,,,,,,,,,
1,Aitkin,90,LAKESIDE TWP,1,AITKIN,36,,,,,,,,,
1,Aitkin,90,LAKESIDE TWP,473,ISLE,351,,,,,,,,,
1,Aitkin,95,LEE TWP,1,AITKIN,27,,,,,,,,,
